	reviewer_1	reviewer_2	suspicious_score	commonproducts
493	14615	14616	1	1
494	14616	14617	1	1
495	14618	14619	1	1
496	14624	14625	1	1
497	14624	14626	1	1
498	14624	14627	1	1
499	14625	14626	1	1
500	14625	14627	1	1
501	14626	14627	1	1
502	14630	14632	1	1
503	14630	14633	1	1
504	14631	14632	1	1
505	14631	14633	1	1
506	14632	14633	1	1
507	14634	14635	1	1
508	14635	14636	1	1
509	14635	14637	1	1
510	14636	14637	1	1
511	14636	14638	1	1
512	14637	14638	1	1
513	14639	14640	1	1
514	14640	14641	1	1
515	14640	14642	1	1
516	14640	14643	1	1
517	14641	14642	1	1
518	14641	14643	1	1
519	14641	14644	1	1
520	14642	14643	1	1
521	14642	14644	1	1
522	14642	14645	1	1
523	14643	14645	1	1
524	14644	14645	1	1
525	14646	14648	1	1
526	14646	14649	1	1
527	14647	14650	1	1
528	14647	14651	1	1
529	14648	14649	1	1
530	14650	14651	1	1
531	14652	14653	1	1
532	14652	14654	1	1
533	14653	14654	1	1
534	14654	14655	1	1
535	14658	14659	1	1
536	14662	14663	1	1
537	14664	14665	1	1
538	14666	15128	1	1
539	14668	15265	1	1
540	14669	14670	1	1
541	14672	14673	1	1
542	14673	14674	1	1
543	14676	14677	1	1
544	14681	14683	1	1
545	14687	14688	1	1
546	14688	14689	1	1
547	14691	14692	1	1
548	14691	14693	1	1
549	14692	14693	1	1
550	14693	14694	1	1
551	14694	14695	1	1
552	14695	14696	1	1
553	14697	14698	1	1
554	14699	14700	1	1
555	14701	14702	1	1
556	14701	14703	1	1
557	14702	14703	1	1
558	14704	14705	1	1
559	14705	14706	1	1
560	14705	14707	1	1
561	14706	14707	1	1
562	14708	14709	1	1
563	14710	14711	1	1
564	14713	14714	1	1
565	14714	14715	1	1
566	14716	14717	1	1
567	14716	14718	1	1
568	14717	14718	1	1
569	14717	14719	1	1
570	14718	14719	1	1
571	14728	14729	1	1
572	14731	14732	1	1
573	14734	14735	1	1
574	14736	14737	1	1
575	14740	14741	1	1
576	14746	14747	1	1
577	14753	14754	1	1
578	14760	14780	1	1
579	14761	14797	1	1
580	14767	14768	1	1
581	14771	14772	1	1
582	14773	14774	1	1
583	14773	14775	1	1
584	14774	14775	1	1
585	14780	14781	1	1
586	14782	14783	1	1
587	14791	14792	1	1
588	14791	14793	1	1
589	14792	14793	1	1
590	14796	14797	1	1
591	14826	14851	1	1
592	14830	14831	1	1
593	14863	14998	1	1
594	14863	15002	1	1
595	14864	14921	1	1
596	14864	14922	1	1
597	14864	14923	1	1
598	14866	14879	1	1
599	14866	14949	1	1
600	14866	14950	1	1
601	14867	14968	1	1
602	14868	14893	1	1
603	14868	15027	1	1
604	14868	15028	1	1
605	14868	15029	1	1
606	14869	15042	1	1
607	14869	15043	1	1
608	14869	15044	1	1
609	14870	14898	1	1
610	14870	14899	1	1
611	14870	15052	1	1
612	14870	15053	1	1
613	14871	15064	1	1
614	14871	15065	1	1
615	14871	15066	1	1
616	14872	14903	1	1
617	14872	15067	1	1
618	14872	15069	1	1
619	14873	15074	1	1
620	14873	15075	1	1
621	14874	15076	1	1
622	14874	15077	1	1
623	14875	14913	1	1
624	14875	15094	1	1
625	14875	15095	1	1
626	14876	14928	1	1
627	14877	14939	1	1
628	14878	14940	1	1
629	14878	14941	1	1
630	14878	14942	1	1
631	14878	14943	1	1
632	14878	14944	1	1
633	14879	14949	1	1
634	14880	14953	1	1
635	14881	14955	1	1
636	14882	14960	1	1
637	14882	14961	1	1
638	14882	14962	1	1
639	14883	14970	1	1
640	14883	14971	1	1
641	14883	14972	1	1
642	14883	14973	1	1
643	14884	14976	1	1
644	14884	14977	1	1
645	14884	14978	1	1
646	14885	14980	1	1
647	14885	14981	1	1
648	14885	14982	1	1
649	14886	14887	1	1
650	14886	14992	1	1
651	14886	14993	1	1
652	14887	14992	1	1
653	14887	14993	1	1
654	14887	14994	1	1
655	14889	14999	1	1
656	14889	15000	1	1
657	14889	15001	1	1
658	14889	15003	1	1
659	14890	15006	1	1
660	14890	15007	1	1
661	14890	15008	1	1
662	14891	15017	1	1
663	14891	15018	1	1
664	14891	15020	1	1
665	14891	15021	1	1
666	14891	15022	1	1
667	14892	15020	1	1
668	14892	15021	1	1
669	14892	15022	1	1
670	14893	15029	1	1
671	14893	15030	1	1
672	14893	15032	1	1
673	14894	14895	1	1
674	14894	15034	1	1
675	14894	15035	1	1
676	14894	15036	1	1
677	14894	15037	1	1
678	14894	15038	1	1
679	14895	15037	1	1
680	14895	15038	1	1
681	14895	15039	1	1
682	14895	15040	1	1
683	14895	15041	1	1
684	14897	15050	1	1
685	14897	15051	1	1
686	14898	14899	1	1
687	14898	15052	1	1
688	14898	15053	1	1
689	14898	15054	1	1
690	14899	15052	1	1
691	14899	15053	1	1
692	14899	15054	1	1
693	14900	15058	1	1
694	14900	15060	1	1
695	14901	14902	1	1
696	14901	15061	1	1
697	14901	15062	1	1
698	14901	15063	1	1
699	14902	15062	1	1
700	14902	15063	1	1
701	14904	14905	1	1
702	14904	15071	1	1
703	14904	15072	1	1
704	14904	15073	1	1
705	14905	15073	1	1
706	14906	15074	1	1
707	14906	15075	1	1
708	14906	15076	1	1
709	14907	15078	1	1
710	14908	15081	1	1
711	14908	15082	1	1
712	14909	14910	1	1
713	14909	15083	1	1
714	14909	15084	1	1
715	14910	15083	1	1
716	14910	15084	1	1
717	14911	15088	1	1
718	14912	14913	1	1
719	14912	15091	1	1
720	14912	15092	1	1
721	14912	15093	1	1
722	14913	15093	1	1
723	14913	15095	1	1
724	14914	14915	1	1
725	14914	15098	1	1
726	14914	15099	1	1
727	14914	15100	1	1
728	14915	15099	1	1
729	14915	15100	1	1
730	14917	14918	1	1
731	14918	14919	1	1
732	14920	14921	1	1
733	14920	14922	1	1
734	14920	14923	1	1
735	14921	14922	1	1
736	14921	14923	1	1
737	14922	14923	1	1
738	14924	14925	1	1
739	14925	14926	1	1
740	14928	14929	1	1
741	14929	14930	1	1
742	14930	14931	1	1
743	14930	14932	1	1
744	14931	14932	1	1
745	14932	14933	1	1
746	14933	14934	1	1
747	14934	14935	1	1
748	14937	14938	1	1
749	14940	14941	1	1
750	14940	14942	1	1
751	14940	14943	1	1
752	14940	14944	1	1
753	14941	14942	1	1
754	14941	14943	1	1
755	14941	14944	1	1
756	14942	14943	1	1
757	14942	14944	1	1
758	14943	14944	1	1
759	14947	14949	1	1
760	14950	14951	1	1
761	14954	14955	1	1
762	14960	14961	1	1
763	14960	14962	1	1
764	14960	14963	1	1
765	14961	14962	1	1
766	14961	14963	1	1
767	14961	14964	1	1
768	14962	14963	1	1
769	14962	14964	1	1
770	14963	14964	1	1
771	14965	14966	1	1
772	14965	14967	1	1
773	14966	14967	1	1
774	14968	14969	1	1
775	14969	14970	1	1
776	14969	14971	1	1
777	14970	14971	1	1
778	14971	14972	1	1
779	14972	14973	1	1
780	14972	14974	1	1
781	14973	14974	1	1
782	14974	14975	1	1
783	14974	14976	1	1
784	14975	14976	1	1
785	14977	14978	1	1
786	14977	14979	1	1
787	14978	14979	1	1
788	14978	14980	1	1
789	14979	14980	1	1
790	14979	14981	1	1
791	14979	14982	1	1
792	14980	14981	1	1
793	14980	14982	1	1
794	14981	14982	1	1
795	14983	14984	1	1
796	14983	14985	1	1
797	14983	14986	1	1
798	14984	14985	1	1
799	14984	14986	1	1
800	14984	14987	1	1
801	14985	14986	1	1
802	14985	14987	1	1
803	14986	14987	1	1
804	14988	14989	1	1
805	14988	14992	1	1
806	14989	14992	1	1
807	14990	14991	1	1
808	14992	14993	1	1
809	14997	14998	1	1
810	14998	14999	1	1
811	14998	15000	1	1
812	14998	15001	1	1
813	14999	15000	1	1
814	14999	15001	1	1
815	14999	15003	1	1
816	15000	15001	1	1
817	15000	15003	1	1
818	15001	15003	1	1
819	15004	15005	1	1
820	15005	15006	1	1
821	15007	15008	1	1
822	15008	15010	1	1
823	15011	15013	1	1
824	15013	15014	1	1
825	15013	15015	1	1
826	15013	15016	1	1
827	15014	15015	1	1
828	15014	15016	1	1
829	15015	15016	1	1
830	15017	15018	1	1
831	15017	15019	1	1
832	15018	15019	1	1
833	15020	15021	1	1
834	15020	15022	1	1
835	15021	15022	1	1
836	15026	15027	1	1
837	15028	15029	1	1
838	15028	15030	1	1
839	15028	15031	1	1
840	15029	15030	1	1
841	15029	15031	1	1
842	15029	15032	1	1
843	15030	15031	1	1
844	15030	15032	1	1
845	15030	15034	1	1
846	15031	15032	1	1
847	15032	15034	1	1
848	15032	15035	1	1
849	15032	15036	1	1
850	15034	15035	1	1
851	15034	15036	1	1
852	15034	15037	1	1
853	15034	15038	1	1
854	15035	15036	1	1
855	15035	15037	1	1
856	15035	15038	1	1
857	15036	15037	1	1
858	15036	15038	1	1
859	15037	15038	1	1
